FileName 	 	 Class
T1M1D-0_1.tif 	 	 0
T1M1D-0_2.tif 	 	 0
T1M1D-0_3.tif 	 	 0
T1M1D-0_4.tif 	 	 0
T1M1D-0_5.tif 	 	 0
T1M1D-0_6.tif 	 	 0
T1M1D-0_7.tif 	 	 0
T1M1D-0_8.tif 	 	 0
T1M1D-0_9.tif 	 	 0
T1M1D-0_10.tif 	 	 0
T1M1D-0_11.tif 	 	 0
T1M1D-0_12.tif 	 	 0
T1M1D-0_13.tif 	 	 0
T1M1D-0_14.tif 	 	 0
T1M1D-0_15.tif 	 	 0
T1M1D-1_1.tif 	 	 1
T1M1D-1_2.tif 	 	 1
T1M1D-1_3.tif 	 	 1
T1M1D-1_4.tif 	 	 1
T1M1D-1_5.tif 	 	 1
T1M1D-1_6.tif 	 	 1
T1M1D-1_7.tif 	 	 1
T1M1D-1_8.tif 	 	 1
T1M1D-1_9.tif 	 	 1
T1M1D-1_10.tif 	 	 1
T1M1D-1_11.tif 	 	 1
T1M1D-1_12.tif 	 	 1
T1M1D-1_13.tif 	 	 1
T1M1D-1_14.tif 	 	 1
T1M1D-1_15.tif 	 	 1
T1M1D-2_1.tif 	 	 2
T1M1D-2_2.tif 	 	 2
T1M1D-2_3.tif 	 	 2
T1M1D-2_4.tif 	 	 2
T1M1D-2_5.tif 	 	 2
T1M1D-2_6.tif 	 	 2
T1M1D-2_7.tif 	 	 2
T1M1D-2_8.tif 	 	 2
T1M1D-2_9.tif 	 	 2
T1M1D-2_10.tif 	 	 2
T1M1D-2_11.tif 	 	 2
T1M1D-2_12.tif 	 	 2
T1M1D-2_13.tif 	 	 2
T1M1D-2_14.tif 	 	 2
T1M1D-2_15.tif 	 	 2
T1M1D-3_1.tif 	 	 3
T1M1D-3_2.tif 	 	 3
T1M1D-3_3.tif 	 	 3
T1M1D-3_4.tif 	 	 3
T1M1D-3_5.tif 	 	 3
T1M1D-3_6.tif 	 	 3
T1M1D-3_7.tif 	 	 3
T1M1D-3_8.tif 	 	 3
T1M1D-3_9.tif 	 	 3
T1M1D-3_10.tif 	 	 3
T1M1D-3_11.tif 	 	 3
T1M1D-3_12.tif 	 	 3
T1M1D-3_13.tif 	 	 3
T1M1D-3_14.tif 	 	 3
T1M1D-3_15.tif 	 	 3
T1M1D-4_1.tif 	 	 4
T1M1D-4_2.tif 	 	 4
T1M1D-4_3.tif 	 	 4
T1M1D-4_4.tif 	 	 4
T1M1D-4_5.tif 	 	 4
T1M1D-4_6.tif 	 	 4
T1M1D-4_7.tif 	 	 4
T1M1D-4_8.tif 	 	 4
T1M1D-4_9.tif 	 	 4
T1M1D-4_10.tif 	 	 4
T1M1D-4_11.tif 	 	 4
T1M1D-4_12.tif 	 	 4
T1M1D-4_13.tif 	 	 4
T1M1D-4_14.tif 	 	 4
T1M1D-4_15.tif 	 	 4
T1M1D-5_1.tif 	 	 5
T1M1D-5_2.tif 	 	 5
T1M1D-5_3.tif 	 	 5
T1M1D-5_4.tif 	 	 5
T1M1D-5_5.tif 	 	 5
T1M1D-5_6.tif 	 	 5
T1M1D-5_7.tif 	 	 5
T1M1D-5_8.tif 	 	 5
T1M1D-5_9.tif 	 	 5
T1M1D-5_10.tif 	 	 5
T1M1D-5_11.tif 	 	 5
T1M1D-5_12.tif 	 	 5
T1M1D-5_13.tif 	 	 5
T1M1D-5_14.tif 	 	 5
T1M1D-5_15.tif 	 	 5
T1M1D-6_1.tif 	 	 6
T1M1D-6_2.tif 	 	 6
T1M1D-6_3.tif 	 	 6
T1M1D-6_4.tif 	 	 6
T1M1D-6_5.tif 	 	 6
T1M1D-6_6.tif 	 	 6
T1M1D-6_7.tif 	 	 6
T1M1D-6_8.tif 	 	 6
T1M1D-6_9.tif 	 	 6
T1M1D-6_10.tif 	 	 6
T1M1D-6_11.tif 	 	 6
T1M1D-6_12.tif 	 	 6
T1M1D-6_13.tif 	 	 6
T1M1D-6_14.tif 	 	 6
T1M1D-6_15.tif 	 	 6
T1M1D-7_1.tif 	 	 7
T1M1D-7_2.tif 	 	 7
T1M1D-7_3.tif 	 	 7
T1M1D-7_4.tif 	 	 7
T1M1D-7_5.tif 	 	 7
T1M1D-7_6.tif 	 	 7
T1M1D-7_7.tif 	 	 7
T1M1D-7_8.tif 	 	 7
T1M1D-7_9.tif 	 	 7
T1M1D-7_10.tif 	 	 7
T1M1D-7_11.tif 	 	 7
T1M1D-7_12.tif 	 	 7
T1M1D-7_13.tif 	 	 7
T1M1D-7_14.tif 	 	 7
T1M1D-7_15.tif 	 	 7
T1M1D-8_1.tif 	 	 8
T1M1D-8_2.tif 	 	 8
T1M1D-8_3.tif 	 	 8
T1M1D-8_4.tif 	 	 8
T1M1D-8_5.tif 	 	 8
T1M1D-8_6.tif 	 	 8
T1M1D-8_7.tif 	 	 8
T1M1D-8_8.tif 	 	 8
T1M1D-8_9.tif 	 	 8
T1M1D-8_10.tif 	 	 8
T1M1D-8_11.tif 	 	 8
T1M1D-8_12.tif 	 	 8
T1M1D-8_13.tif 	 	 8
T1M1D-8_14.tif 	 	 8
T1M1D-8_15.tif 	 	 8
T1M1D-9_1.tif 	 	 9
T1M1D-9_2.tif 	 	 9
T1M1D-9_3.tif 	 	 9
T1M1D-9_4.tif 	 	 9
T1M1D-9_5.tif 	 	 9
T1M1D-9_6.tif 	 	 9
T1M1D-9_7.tif 	 	 9
T1M1D-9_8.tif 	 	 9
T1M1D-9_9.tif 	 	 9
T1M1D-9_10.tif 	 	 9
T1M1D-9_11.tif 	 	 9
T1M1D-9_12.tif 	 	 9
T1M1D-9_13.tif 	 	 9
T1M1D-9_14.tif 	 	 9
T1M1D-9_15.tif 	 	 9
T1M2D-0_1.tif 	 	 0
T1M2D-0_2.tif 	 	 0
T1M2D-0_3.tif 	 	 0
T1M2D-0_4.tif 	 	 0
T1M2D-0_5.tif 	 	 0
T1M2D-0_6.tif 	 	 0
T1M2D-0_7.tif 	 	 0
T1M2D-0_8.tif 	 	 0
T1M2D-0_9.tif 	 	 0
T1M2D-0_10.tif 	 	 0
T1M2D-0_11.tif 	 	 0
T1M2D-0_12.tif 	 	 0
T1M2D-0_13.tif 	 	 0
T1M2D-0_14.tif 	 	 0
T1M2D-0_15.tif 	 	 0
T1M2D-1_1.tif 	 	 1
T1M2D-1_2.tif 	 	 1
T1M2D-1_3.tif 	 	 1
T1M2D-1_4.tif 	 	 1
T1M2D-1_5.tif 	 	 1
T1M2D-1_6.tif 	 	 1
T1M2D-1_7.tif 	 	 1
T1M2D-1_8.tif 	 	 1
T1M2D-1_9.tif 	 	 1
T1M2D-1_10.tif 	 	 1
T1M2D-1_11.tif 	 	 1
T1M2D-1_12.tif 	 	 1
T1M2D-1_13.tif 	 	 1
T1M2D-1_14.tif 	 	 1
T1M2D-1_15.tif 	 	 1
T1M2D-2_1.tif 	 	 2
T1M2D-2_2.tif 	 	 2
T1M2D-2_3.tif 	 	 2
T1M2D-2_4.tif 	 	 2
T1M2D-2_5.tif 	 	 2
T1M2D-2_6.tif 	 	 2
T1M2D-2_7.tif 	 	 2
T1M2D-2_8.tif 	 	 2
T1M2D-2_9.tif 	 	 2
T1M2D-2_10.tif 	 	 2
T1M2D-2_11.tif 	 	 2
T1M2D-2_12.tif 	 	 2
T1M2D-2_13.tif 	 	 2
T1M2D-2_14.tif 	 	 2
T1M2D-2_15.tif 	 	 2
T1M2D-3_1.tif 	 	 3
T1M2D-3_2.tif 	 	 3
T1M2D-3_3.tif 	 	 3
T1M2D-3_4.tif 	 	 3
T1M2D-3_5.tif 	 	 3
T1M2D-3_6.tif 	 	 3
T1M2D-3_7.tif 	 	 3
T1M2D-3_8.tif 	 	 3
T1M2D-3_9.tif 	 	 3
T1M2D-3_10.tif 	 	 3
T1M2D-3_11.tif 	 	 3
T1M2D-3_12.tif 	 	 3
T1M2D-3_13.tif 	 	 3
T1M2D-3_14.tif 	 	 3
T1M2D-3_15.tif 	 	 3
T1M2D-4_1.tif 	 	 4
T1M2D-4_2.tif 	 	 4
T1M2D-4_3.tif 	 	 4
T1M2D-4_4.tif 	 	 4
T1M2D-4_5.tif 	 	 4
T1M2D-4_6.tif 	 	 4
T1M2D-4_7.tif 	 	 4
T1M2D-4_8.tif 	 	 4
T1M2D-4_9.tif 	 	 4
T1M2D-4_10.tif 	 	 4
T1M2D-4_11.tif 	 	 4
T1M2D-4_12.tif 	 	 4
T1M2D-4_13.tif 	 	 4
T1M2D-4_14.tif 	 	 4
T1M2D-4_15.tif 	 	 4
T1M2D-5_1.tif 	 	 5
T1M2D-5_2.tif 	 	 5
T1M2D-5_3.tif 	 	 5
T1M2D-5_4.tif 	 	 5
T1M2D-5_5.tif 	 	 5
T1M2D-5_6.tif 	 	 5
T1M2D-5_7.tif 	 	 5
T1M2D-5_8.tif 	 	 5
T1M2D-5_9.tif 	 	 5
T1M2D-5_10.tif 	 	 5
T1M2D-5_11.tif 	 	 5
T1M2D-5_12.tif 	 	 5
T1M2D-5_13.tif 	 	 5
T1M2D-5_14.tif 	 	 5
T1M2D-5_15.tif 	 	 5
T1M2D-6_1.tif 	 	 6
T1M2D-6_2.tif 	 	 6
T1M2D-6_3.tif 	 	 6
T1M2D-6_4.tif 	 	 6
T1M2D-6_5.tif 	 	 6
T1M2D-6_6.tif 	 	 6
T1M2D-6_7.tif 	 	 6
T1M2D-6_8.tif 	 	 6
T1M2D-6_9.tif 	 	 6
T1M2D-6_10.tif 	 	 6
T1M2D-6_11.tif 	 	 6
T1M2D-6_12.tif 	 	 6
T1M2D-6_13.tif 	 	 6
T1M2D-6_14.tif 	 	 6
T1M2D-6_15.tif 	 	 6
T1M2D-7_1.tif 	 	 7
